,Window,Dataset,Group,Unnamed: 0_group,model_id_group,score_threshold_group,k_group,attribute_name_group,attribute_value_group,tpr_group,tnr_group,for_group,fdr_group,fpr_group,fnr_group,npv_group,precision_group,pp_group,pn_group,ppr_group,pprev_group,fp_group,fn_group,tn_group,tp_group,group_label_pos_group,group_label_neg_group,group_size_group,total_entities_group,prev_group,pp,pn,fpr,tnr,tpr,fnr,accuracy,ppv,npv,f1,roc_auc,equal_opportunity,fpr_ratio,Drop
0,0,Noisy Val,Young,0,0,binary 0/1,4523,client_age_binarized,0,0.6314699792960663,0.9583258862079236,0.0027588344699318,0.9017080244924268,0.0416741137920762,0.3685300207039337,0.997241165530068,0.0982919755075733,3103,64520,0.6860490824673889,0.0458867545066027,2798,178,64342,305,483,67140,67623,80883,0.0071425402599707,4523.0,76360.0,0.049988769372831865,0.9500112306271682,0.6939597315436241,0.3060402684563759,0.9476527824141043,0.1143046650453239,0.9970141435306443,0.19627942293090356,0.9175048879608849,0.7804015781866479,0.4484107045276549,No Drop
1,0,Noisy Val,Old,1,0,binary 0/1,4523,client_age_binarized,1,0.8091603053435115,0.9070626250192336,0.0042229729729729,0.8507042253521127,0.0929373749807662,0.1908396946564885,0.995777027027027,0.1492957746478873,1420,11840,0.3139509175326111,0.1070889894419306,1208,50,11790,212,262,12998,13260,80883,0.0197586726998491,4523.0,76360.0,0.049988769372831865,0.9500112306271682,0.6939597315436241,0.3060402684563759,0.9476527824141043,0.1143046650453239,0.9970141435306443,0.19627942293090356,0.9175048879608849,0.7804015781866479,0.4484107045276549,No Drop
2,0,Real Val,Young,0,0,binary 0/1,4523,client_age_binarized,0,0.6314699792960663,0.9583258862079236,0.0027588344699318,0.9017080244924268,0.0416741137920762,0.3685300207039337,0.997241165530068,0.0982919755075733,3103,64520,0.6860490824673889,0.0458867545066027,2798,178,64342,305,483,67140,67623,80883,0.0071425402599707,4523.0,76360.0,0.049988769372831865,0.9500112306271682,0.6939597315436241,0.3060402684563759,0.9476527824141043,0.1143046650453239,0.9970141435306443,0.19627942293090356,0.9175048879608849,0.7804015781866479,0.4484107045276549,No Drop
3,0,Real Val,Old,1,0,binary 0/1,4523,client_age_binarized,1,0.8091603053435115,0.9070626250192336,0.0042229729729729,0.8507042253521127,0.0929373749807662,0.1908396946564885,0.995777027027027,0.1492957746478873,1420,11840,0.3139509175326111,0.1070889894419306,1208,50,11790,212,262,12998,13260,80883,0.0197586726998491,4523.0,76360.0,0.049988769372831865,0.9500112306271682,0.6939597315436241,0.3060402684563759,0.9476527824141043,0.1143046650453239,0.9970141435306443,0.19627942293090356,0.9175048879608849,0.7804015781866479,0.4484107045276549,No Drop
4,0,Real Test,Young,0,0,binary 0/1,4253,client_age_binarized,0,0.6498054474708171,0.9542675384343524,0.0033221365028976,0.8856947296372347,0.0457324615656476,0.3501945525291828,0.9966778634971024,0.1143052703627652,2922,54182,0.6870444392193745,0.0511697954609134,2588,180,54002,334,514,56590,57104,68444,0.0090011207621182,4253.0,64191.0,0.05473945556113853,0.9452605444388614,0.705655526992288,0.29434447300771205,0.9425369645257436,0.12908535151657655,0.9964325216930723,0.21824686940966012,0.9231766463387348,0.7979006424757941,0.453882387366589,No Drop
5,0,Real Test,Old,1,0,binary 0/1,4253,client_age_binarized,1,0.8143939393939394,0.8992416034669556,0.0048955939654311,0.8384673178061608,0.1007583965330444,0.1856060606060606,0.9951044060345688,0.1615326821938392,1331,10009,0.3129555607806254,0.1173721340388007,1116,49,9960,215,264,11076,11340,68444,0.0232804232804232,4253.0,64191.0,0.05473945556113853,0.9452605444388614,0.705655526992288,0.29434447300771205,0.9425369645257436,0.12908535151657655,0.9964325216930723,0.21824686940966012,0.9231766463387348,0.7979006424757941,0.453882387366589,No Drop
6,1,Noisy Val,Young,0,0,binary 0/1,7379,client_age_binarized,0,0.9194068343004512,0.9583163586533832,0.0048075998538489,0.4411130707427004,0.0416836413466167,0.0805931656995486,0.9951924001461512,0.5588869292572997,5103,52001,0.6915571215611872,0.0893632670215746,2251,250,51751,2852,3102,54002,57104,68444,0.0543219389184645,7379.0,61065.0,0.049998436571714454,0.9500015634282856,0.9328424810352521,0.06715751896474786,0.9488779147916545,0.5666079414554818,0.9950708261688365,0.7049995784503835,0.9828096141588754,0.9546888121404236,0.43840450666557895,No Drop
7,1,Noisy Val,Old,1,0,binary 0/1,7379,client_age_binarized,1,0.9630434782608696,0.9049196787148596,0.0056266548984995,0.4160808435852373,0.0950803212851405,0.0369565217391304,0.9943733451015004,0.5839191564147628,2276,9064,0.3084428784388128,0.200705467372134,947,51,9013,1329,1380,9960,11340,68444,0.1216931216931216,7379.0,61065.0,0.049998436571714454,0.9500015634282856,0.9328424810352521,0.06715751896474786,0.9488779147916545,0.5666079414554818,0.9950708261688365,0.7049995784503835,0.9828096141588754,0.9546888121404236,0.43840450666557895,No Drop
8,1,Real Val,Young,0,0,binary 0/1,7379,client_age_binarized,0,0.7762645914396887,0.9168757731047888,0.0022114959327705,0.9218106995884774,0.0831242268952111,0.2237354085603113,0.9977885040672296,0.0781893004115226,5103,52001,0.6915571215611872,0.0893632670215746,4704,115,51886,399,514,56590,57104,68444,0.0090011207621182,7379.0,61065.0,0.09965122809091716,0.9003487719090828,0.8174807197943444,0.18251928020565555,0.8994068143299632,0.0861905407236753,0.9976746090231721,0.1559396837072453,0.9288757603219261,0.8646997980594001,0.45153699710218675,No Drop
9,1,Real Val,Old,1,0,binary 0/1,7379,client_age_binarized,1,0.8977272727272727,0.8159082701336222,0.0029788172992056,0.8958699472759226,0.1840917298663777,0.1022727272727272,0.9970211827007944,0.1041300527240773,2276,9064,0.3084428784388128,0.200705467372134,2039,27,9037,237,264,11076,11340,68444,0.0232804232804232,7379.0,61065.0,0.09965122809091716,0.9003487719090828,0.8174807197943444,0.18251928020565555,0.8994068143299632,0.0861905407236753,0.9976746090231721,0.1559396837072453,0.9288757603219261,0.8646997980594001,0.45153699710218675,No Drop
10,1,Real Test,Young,0,0,binary 0/1,6533,client_age_binarized,0,0.777988614800759,0.921838769516154,0.0024464703914352,0.9079685746352412,0.078161230483846,0.222011385199241,0.9975535296085648,0.0920314253647587,4455,47824,0.681922547068728,0.0852158610531953,4045,117,47707,410,527,51752,52279,63927,0.0100805294668987,6533.0,57394.0,0.09360159564363958,0.9063984043563604,0.8211920529801324,0.17880794701986757,0.9053920878502041,0.09490280116332465,0.9976478377530752,0.17014270032930848,0.9346939900861436,0.8446733532122527,0.4778379294033842,No Drop
11,1,Real Test,Old,1,0,binary 0/1,6533,client_age_binarized,1,0.9210526315789472,0.8364273204903677,0.0018808777429467,0.8989412897016362,0.1635726795096322,0.0789473684210526,0.9981191222570532,0.1010587102983638,2078,9570,0.318077452931272,0.1783997252747252,1868,18,9552,210,228,11420,11648,63927,0.0195741758241758,6533.0,57394.0,0.09360159564363958,0.9063984043563604,0.8211920529801324,0.17880794701986757,0.9053920878502041,0.09490280116332465,0.9976478377530752,0.17014270032930848,0.9346939900861436,0.8446733532122527,0.4778379294033842,No Drop
12,2,Noisy Val,Young,0,0,binary 0/1,9128,client_age_binarized,0,0.9324146981627296,0.9558974573961893,0.0067302665969681,0.330453902937019,0.0441025426038107,0.0675853018372703,0.993269733403032,0.669546097062981,6367,45912,0.697524101665206,0.1217888635972379,2104,309,45603,4263,4572,47707,52279,63927,0.0874538533636833,9128.0,54799.0,0.049983408721772996,0.950016591278227,0.9397120575884823,0.06028794241151769,0.9489417616969356,0.6864592462751972,0.9926640997098487,0.7933654089642949,0.9865978060958828,0.9757070431098759,0.555761856136676,No Drop
13,2,Noisy Val,Old,1,0,binary 0/1,9128,client_age_binarized,1,0.9556297709923663,0.920644891122278,0.0104647237537976,0.2745382107931908,0.0793551088777219,0.0443702290076335,0.9895352762462024,0.7254617892068091,2761,8887,0.302475898334794,0.2370364010989011,758,93,8794,2003,2096,9552,11648,63927,0.1799450549450549,9128.0,54799.0,0.049983408721772996,0.950016591278227,0.9397120575884823,0.06028794241151769,0.9489417616969356,0.6864592462751972,0.9926640997098487,0.7933654089642949,0.9865978060958828,0.9757070431098759,0.555761856136676,No Drop
14,2,Real Val,Young,0,0,binary 0/1,9128,client_age_binarized,0,0.8235294117647058,0.8853570876487865,0.0020256142185049,0.93183602952725,0.1146429123512134,0.1764705882352941,0.997974385781495,0.0681639704727501,6367,45912,0.697524101665206,0.1217888635972379,5933,93,45819,434,527,51752,52279,63927,0.0100805294668987,9128.0,54799.0,0.13422085734186032,0.8657791426581397,0.8596026490066225,0.14039735099337747,0.8657061961299607,0.07109991235758106,0.9980656581324476,0.13133663867246786,0.9337878966412733,0.8733242134062926,0.5142270459744139,No Drop
15,2,Real Val,Old,1,0,binary 0/1,9128,client_age_binarized,1,0.9429824561403508,0.7770577933450088,0.001462810847305,0.9221296631655196,0.2229422066549912,0.0570175438596491,0.998537189152695,0.0778703368344802,2761,8887,0.302475898334794,0.2370364010989011,2546,13,8874,215,228,11420,11648,63927,0.0195741758241758,9128.0,54799.0,0.13422085734186032,0.8657791426581397,0.8596026490066225,0.14039735099337747,0.8657061961299607,0.07109991235758106,0.9980656581324476,0.13133663867246786,0.9337878966412733,0.8733242134062926,0.5142270459744139,No Drop
16,2,Real Test,Young,0,0,binary 0/1,9164,client_age_binarized,0,0.8178438661710037,0.8710150160355118,0.0023839641918847,0.9324428066943036,0.1289849839644882,0.1821561338289963,0.9976160358081152,0.0675571933056963,6513,41108,0.7107158446093409,0.1367673925369059,6073,98,41010,440,538,47083,47621,57967,0.0112975368009911,9164.0,48803.0,0.14852506600919757,0.8514749339908024,0.8611825192802056,0.13881748071979438,0.8516052236617386,0.07311217808817111,0.9977870212896748,0.13478173405753371,0.9294050966441001,0.8534022951349604,0.5384230681309864,No Drop
17,2,Real Test,Old,1,0,binary 0/1,9164,client_age_binarized,1,0.9583333333333334,0.7604393429645755,0.0012995451591942,0.91324028668427,0.2395606570354245,0.0416666666666666,0.9987004548408056,0.0867597133157299,2651,7695,0.2892841553906591,0.2562342934467427,2421,10,7685,230,240,10106,10346,57967,0.023197370964624,9164.0,48803.0,0.14852506600919757,0.8514749339908024,0.8611825192802056,0.13881748071979438,0.8516052236617386,0.07311217808817111,0.9977870212896748,0.13478173405753371,0.9294050966441001,0.8534022951349604,0.5384230681309864,No Drop
18,3,Noisy Val,Young,0,0,binary 0/1,11316,client_age_binarized,0,0.9512932990470429,0.9557912704218484,0.0081479794529213,0.223771908170822,0.0442087295781516,0.0487067009529571,0.9918520205470788,0.776228091829178,8102,39519,0.715977377165076,0.1701350244639969,1813,322,39197,6289,6611,41010,47621,57967,0.1388253081623653,11316.0,46651.0,0.049984598008009036,0.950015401991991,0.9579378774805867,0.042062122519413325,0.9512826263218728,0.7849063273241428,0.9916400505884119,0.8628327180882067,0.990205522462412,0.9762404430251373,0.547091927227207,No Drop
19,3,Noisy Val,Old,1,0,binary 0/1,11316,client_age_binarized,1,0.974445697106351,0.9191932335718932,0.0095344924284913,0.1932171748599875,0.0808067664281067,0.025554302893649,0.9904655075715086,0.8067828251400124,3214,7132,0.284022622834924,0.3106514595012565,621,68,7064,2593,2661,7685,10346,57967,0.2572008505702687,11316.0,46651.0,0.049984598008009036,0.950015401991991,0.9579378774805867,0.042062122519413325,0.9512826263218728,0.7849063273241428,0.9916400505884119,0.8628327180882067,0.990205522462412,0.9762404430251373,0.547091927227207,No Drop
20,3,Real Val,Young,0,0,binary 0/1,11316,client_age_binarized,0,0.8550185873605948,0.8376908863071597,0.0019737341531921,0.9432238953344854,0.1623091136928403,0.1449814126394052,0.998026265846808,0.0567761046655146,8102,39519,0.715977377165076,0.1701350244639969,7642,78,39441,460,538,47083,47621,57967,0.0112975368009911,11316.0,46651.0,0.18568256133172464,0.8143174386682753,0.8958868894601543,0.10411311053984573,0.8154122172960477,0.06159420289855073,0.9982637028145163,0.11526376715726806,0.9322360786210123,0.8658416074537668,0.5509895542424736,No Drop
21,3,Real Val,Old,1,0,binary 0/1,11316,client_age_binarized,1,0.9875,0.7054225212744905,0.0004206393718452,0.9262601120099564,0.2945774787255096,0.0125,0.9995793606281548,0.0737398879900435,3214,7132,0.284022622834924,0.3106514595012565,2977,3,7129,237,240,10106,10346,57967,0.023197370964624,11316.0,46651.0,0.18568256133172464,0.8143174386682753,0.8958868894601543,0.10411311053984573,0.8154122172960477,0.06159420289855073,0.9982637028145163,0.11526376715726806,0.9322360786210123,0.8658416074537668,0.5509895542424736,No Drop
22,3,Real Test,Young,0,0,binary 0/1,9835,client_age_binarized,0,0.8777120315581854,0.844596163670986,0.001701800614844,0.9376488720751016,0.1554038363290139,0.1222879684418146,0.998298199385156,0.0623511279248984,7137,36432,0.7256736146415862,0.16380913034497,6692,62,36370,445,507,43062,43569,51955,0.0116367141775115,9835.0,42120.0,0.1785930571021118,0.8214069428978882,0.9046997389033943,0.09530026109660572,0.8226349725724185,0.0704626334519573,0.99826685660019,0.13074238279407605,0.9400326298073075,0.916642807151492,0.5154967256513864,No Drop
23,3,Real Test,Old,1,0,binary 0/1,9835,client_age_binarized,1,0.9575289575289576,0.6985357450473729,0.0019338959212376,0.9080800593031876,0.301464254952627,0.0424710424710424,0.9980661040787624,0.0919199406968124,2698,5688,0.2743263853584138,0.3217266873360362,2450,11,5677,248,259,8127,8386,51955,0.0308848080133555,9835.0,42120.0,0.1785930571021118,0.8214069428978882,0.9046997389033943,0.09530026109660572,0.8226349725724185,0.0704626334519573,0.99826685660019,0.13074238279407605,0.9400326298073075,0.916642807151492,0.5154967256513864,No Drop
24,0,Noisy Val,Young,0,0,binary 0/1,4510,client_age_binarized,0,0.660455486542443,0.95,0.0025646238291084,0.9132208922742112,0.05,0.3395445134575569,0.9974353761708916,0.0867791077257889,3676,63947,0.8150776053215077,0.0543602028895494,3357,164,63783,319,483,67140,67623,80883,0.0071425402599707,4510.0,76373.0,0.049988769372831865,0.9500112306271682,0.676510067114094,0.323489932885906,0.9474920564271849,0.11175166297117517,0.9968444345514776,0.1918173168411037,0.9175661078599149,0.9353477701303787,0.9986151715648561,Drop
25,0,Noisy Val,Old,1,0,binary 0/1,4510,client_age_binarized,1,0.7061068702290076,0.9500692414217572,0.0061966843714791,0.7781774580335732,0.0499307585782428,0.2938931297709923,0.9938033156285208,0.2218225419664268,834,12426,0.1849223946784922,0.0628959276018099,649,77,12349,185,262,12998,13260,80883,0.0197586726998491,4510.0,76373.0,0.049988769372831865,0.9500112306271682,0.676510067114094,0.323489932885906,0.9474920564271849,0.11175166297117517,0.9968444345514776,0.1918173168411037,0.9175661078599149,0.9353477701303787,0.9986151715648561,Drop
26,0,Real Val,Young,0,0,binary 0/1,4510,client_age_binarized,0,0.660455486542443,0.95,0.0025646238291084,0.9132208922742112,0.05,0.3395445134575569,0.9974353761708916,0.0867791077257889,3676,63947,0.8150776053215077,0.0543602028895494,3357,164,63783,319,483,67140,67623,80883,0.0071425402599707,4510.0,76373.0,0.049988769372831865,0.9500112306271682,0.676510067114094,0.323489932885906,0.9474920564271849,0.11175166297117517,0.9968444345514776,0.1918173168411037,0.9175661078599149,0.9353477701303787,0.9986151715648561,Drop
27,0,Real Val,Old,1,0,binary 0/1,4510,client_age_binarized,1,0.7061068702290076,0.9500692414217572,0.0061966843714791,0.7781774580335732,0.0499307585782428,0.2938931297709923,0.9938033156285208,0.2218225419664268,834,12426,0.1849223946784922,0.0628959276018099,649,77,12349,185,262,12998,13260,80883,0.0197586726998491,4510.0,76373.0,0.049988769372831865,0.9500112306271682,0.676510067114094,0.323489932885906,0.9474920564271849,0.11175166297117517,0.9968444345514776,0.1918173168411037,0.9175661078599149,0.9353477701303787,0.9986151715648561,Drop
28,0,Real Test,Young,0,0,binary 0/1,4000,client_age_binarized,0,0.6750972762645915,0.9486305000883548,0.0031012070566388,0.8933620159803319,0.0513694999116451,0.3249027237354085,0.9968987929433611,0.1066379840196681,3254,53850,0.8135,0.0569837489492855,2907,167,53683,347,514,56590,57104,68444,0.0090011207621182,4000.0,64444.0,0.05131085035320545,0.9486891496467945,0.6786632390745502,0.3213367609254498,0.9456197767517971,0.132,0.9961206629011234,0.2210129761406446,0.9230157547615738,0.9846722703527744,0.9930249557642398,Drop
29,0,Real Test,Old,1,0,binary 0/1,4000,client_age_binarized,1,0.6856060606060606,0.9489888046226076,0.0078346233717198,0.7573726541554959,0.0510111953773925,0.3143939393939394,0.9921653766282802,0.242627345844504,746,10594,0.1865,0.0657848324514991,565,83,10511,181,264,11076,11340,68444,0.0232804232804232,4000.0,64444.0,0.05131085035320545,0.9486891496467945,0.6786632390745502,0.3213367609254498,0.9456197767517971,0.132,0.9961206629011234,0.2210129761406446,0.9230157547615738,0.9846722703527744,0.9930249557642398,Drop
30,1,Noisy Val,Young,0,0,binary 0/1,7190,client_age_binarized,0,0.941245249926922,0.9500027941806533,0.00392578125,0.4546070460704607,0.0499972058193469,0.058754750073078,0.99607421875,0.5453929539295393,5904,51200,0.8211404728789986,0.1033903054076772,2684,201,50999,3220,3421,53683,57104,68444,0.059908237601569,7190.0,61254.0,0.04998909555410163,0.9500109044458984,0.9367058823529412,0.06329411764705883,0.9491847349658115,0.5536856745479833,0.9956084500604042,0.6959790209790211,0.9804469851497942,0.9752755321460415,0.9990093055589624,Drop
31,1,Noisy Val,Old,1,0,binary 0/1,7190,client_age_binarized,1,0.9179734620024126,0.9500523261345256,0.0067634772229958,0.4082426127527216,0.0499476738654742,0.0820265379975874,0.993236522777004,0.5917573872472783,1286,10054,0.1788595271210014,0.1134038800705467,525,68,9986,761,829,10511,11340,68444,0.0731040564373897,7190.0,61254.0,0.04998909555410163,0.9500109044458984,0.9367058823529412,0.06329411764705883,0.9491847349658115,0.5536856745479833,0.9956084500604042,0.6959790209790211,0.9804469851497942,0.9752755321460415,0.9990093055589624,Drop
32,1,Real Val,Young,0,0,binary 0/1,7190,client_age_binarized,0,0.7898832684824902,0.9028450256229016,0.002109375,0.9312330623306232,0.0971549743770984,0.2101167315175097,0.997890625,0.0687669376693767,5904,51200,0.8211404728789986,0.1033903054076772,5498,108,51092,406,514,56590,57104,68444,0.0090011207621182,7190.0,61254.0,0.09718322348003429,0.9028167765199657,0.7892030848329049,0.2107969151670951,0.9015253345800947,0.08539638386648123,0.9973226238286479,0.15411646586345382,0.9264219358246618,0.9974623078071354,0.9982268053810225,Drop
33,1,Real Val,Old,1,0,binary 0/1,7190,client_age_binarized,1,0.7878787878787878,0.902672444925966,0.0055699224189377,0.838258164852255,0.0973275550740339,0.2121212121212121,0.9944300775810624,0.1617418351477449,1286,10054,0.1788595271210014,0.1134038800705467,1078,56,9998,208,264,11076,11340,68444,0.0232804232804232,7190.0,61254.0,0.09718322348003429,0.9028167765199657,0.7892030848329049,0.2107969151670951,0.9015253345800947,0.08539638386648123,0.9973226238286479,0.15411646586345382,0.9264219358246618,0.9974623078071354,0.9982268053810225,Drop
34,1,Real Test,Young,0,0,binary 0/1,6472,client_age_binarized,0,0.7969639468690702,0.9067089194620498,0.0022750951500074,0.919969512195122,0.0932910805379502,0.2030360531309298,0.9977249048499924,0.080030487804878,5248,47031,0.8108776266996292,0.1003844756020581,4828,107,46924,420,527,51752,52279,63927,0.0100805294668987,6472.0,57455.0,0.09271512695498005,0.9072848730450199,0.8145695364238411,0.1854304635761589,0.9061898728236896,0.0950247218788628,0.997563310416848,0.17019510170195104,0.9336405222701146,0.931834768646913,0.9658488066547011,Drop
35,1,Real Test,Old,1,0,binary 0/1,6472,client_age_binarized,1,0.8552631578947368,0.9098949211908932,0.0031657712970069,0.8406862745098039,0.0901050788091068,0.1447368421052631,0.9968342287029932,0.159313725490196,1224,10424,0.1891223733003708,0.1050824175824175,1029,33,10391,195,228,11420,11648,63927,0.0195741758241758,6472.0,57455.0,0.09271512695498005,0.9072848730450199,0.8145695364238411,0.1854304635761589,0.9061898728236896,0.0950247218788628,0.997563310416848,0.17019510170195104,0.9336405222701146,0.931834768646913,0.9658488066547011,Drop
36,2,Noisy Val,Young,0,0,binary 0/1,9183,client_age_binarized,0,0.9563025210084034,0.9500042622112352,0.0052218155851111,0.3141824025713138,0.0499957377887648,0.0436974789915966,0.9947781844148889,0.6858175974286862,7467,44812,0.8131329630839594,0.1428298169437059,2346,234,44578,5121,5355,46924,52279,63927,0.1024311865184873,9183.0,54744.0,0.04998691442030882,0.9500130855796912,0.9555353901996371,0.04446460980036293,0.9505842601717585,0.6880104540999673,0.994629548443665,0.7999999999999999,0.988131300057488,0.9957803960387733,0.9990265528328297,Drop
37,2,Noisy Val,Old,1,0,binary 0/1,9183,client_age_binarized,1,0.9522673031026252,0.9500529304205564,0.0060410793395086,0.3024475524475524,0.0499470695794437,0.0477326968973747,0.9939589206604912,0.6975524475524476,1716,9932,0.1868670369160405,0.1473214285714285,519,60,9872,1197,1257,10391,11648,63927,0.1079155219780219,9183.0,54744.0,0.04998691442030882,0.9500130855796912,0.9555353901996371,0.04446460980036293,0.9505842601717585,0.6880104540999673,0.994629548443665,0.7999999999999999,0.988131300057488,0.9957803960387733,0.9990265528328297,Drop
38,2,Real Val,Young,0,0,binary 0/1,9183,client_age_binarized,0,0.8462998102466793,0.8643337455557273,0.0018075515486923,0.9402705236373377,0.1356662544442727,0.1537001897533206,0.9981924484513076,0.0597294763626623,7467,44812,0.8131329630839594,0.1428298169437059,7021,81,44731,446,527,51752,52279,63927,0.0100805294668987,9183.0,54744.0,0.13505983663648452,0.8649401633635154,0.8622516556291391,0.13774834437086092,0.8649084111564753,0.07089186540346291,0.9981002484290515,0.13101227611189373,0.9348307343810213,0.9412505206645995,0.9752737284768163,Drop
39,2,Real Val,Old,1,0,binary 0/1,9183,client_age_binarized,1,0.8991228070175439,0.8676882661996498,0.0023157470801449,0.8805361305361306,0.1323117338003502,0.1008771929824561,0.997684252919855,0.1194638694638694,1716,9932,0.1868670369160405,0.1473214285714285,1511,23,9909,205,228,11420,11648,63927,0.0195741758241758,9183.0,54744.0,0.13505983663648452,0.8649401633635154,0.8622516556291391,0.13774834437086092,0.8649084111564753,0.07089186540346291,0.9981002484290515,0.13101227611189373,0.9348307343810213,0.9412505206645995,0.9752737284768163,Drop
40,2,Real Test,Young,0,0,binary 0/1,9430,client_age_binarized,0,0.8327137546468402,0.8460166089671431,0.0022543396037371,0.9418030657313587,0.1539833910328568,0.1672862453531598,0.9977456603962628,0.0581969342686412,7698,39923,0.8163308589607635,0.1616513722937359,7250,90,39833,448,538,47083,47621,57967,0.0112975368009911,9430.0,48537.0,0.15321128188987393,0.8467887181101261,0.8586118251928021,0.1413881748071979,0.8469474011075266,0.07083775185577942,0.9977336877021653,0.13087774294670845,0.928562987444194,0.9084150050692802,0.9716248592505647,Drop
41,2,Real Test,Old,1,0,binary 0/1,9430,client_age_binarized,1,0.9166666666666666,0.8503859093607757,0.0023218017181332,0.8729792147806005,0.1496140906392242,0.0833333333333333,0.9976781982818668,0.1270207852193995,1732,8614,0.1836691410392364,0.1674076937947032,1512,20,8594,220,240,10106,10346,57967,0.023197370964624,9430.0,48537.0,0.15321128188987393,0.8467887181101261,0.8586118251928021,0.1413881748071979,0.8469474011075266,0.07083775185577942,0.9977336877021653,0.13087774294670845,0.928562987444194,0.9084150050692802,0.9716248592505647,Drop
42,3,Noisy Val,Young,0,0,binary 0/1,11641,client_age_binarized,0,0.9646892655367232,0.9499912133155926,0.0072148179242312,0.2095739084692267,0.0500087866844074,0.0353107344632768,0.9927851820757688,0.7904260915307733,9505,38116,0.8165106090542049,0.1995968165305222,1992,275,37841,7513,7788,39833,47621,57967,0.1635412948069129,11641.0,46326.0,0.0499927726268404,0.9500072273731596,0.9664570230607966,0.033542976939203384,0.9527144754774268,0.7920281762735161,0.9930924318956957,0.8705915679146405,0.9911511324464726,0.99012044125386,0.998195539897547,Drop
43,3,Noisy Val,Old,1,0,binary 0/1,11641,client_age_binarized,1,0.9743150684931506,0.9500814521759366,0.0054811205846528,0.2008426966292134,0.0499185478240633,0.0256849315068493,0.9945188794153472,0.7991573033707865,2136,8210,0.183489390945795,0.2064566015851537,429,45,8165,1707,1752,8594,10346,57967,0.1693408080417552,11641.0,46326.0,0.0499927726268404,0.9500072273731596,0.9664570230607966,0.033542976939203384,0.9527144754774268,0.7920281762735161,0.9930924318956957,0.8705915679146405,0.9911511324464726,0.99012044125386,0.998195539897547,Drop
44,3,Real Val,Young,0,0,binary 0/1,11641,client_age_binarized,0,0.8736059479553904,0.8081048361404328,0.0017840277049008,0.9505523408732246,0.1918951638595671,0.1263940520446096,0.9982159722950992,0.0494476591267753,9505,38116,0.8165106090542049,0.1995968165305222,9035,68,38048,470,538,47083,47621,57967,0.0112975368009911,11641.0,46326.0,0.1913654723810523,0.8086345276189477,0.8958868894601543,0.10411311053984573,0.8098055790363483,0.05987458122154454,0.998251521823598,0.1122473629116676,0.9291504276106813,0.9236362445343335,0.9843795994883674,Drop
45,3,Real Val,Old,1,0,binary 0/1,11641,client_age_binarized,1,0.9458333333333332,0.8111023154561646,0.0015834348355663,0.8937265917602997,0.1888976845438353,0.0541666666666666,0.9984165651644336,0.1062734082397003,2136,8210,0.183489390945795,0.2064566015851537,1909,13,8197,227,240,10106,10346,57967,0.023197370964624,11641.0,46326.0,0.1913654723810523,0.8086345276189477,0.8958868894601543,0.10411311053984573,0.8098055790363483,0.05987458122154454,0.998251521823598,0.1122473629116676,0.9291504276106813,0.9236362445343335,0.9843795994883674,Drop
46,3,Real Test,Young,0,0,binary 0/1,10175,client_age_binarized,0,0.8875739644970414,0.8158236960661372,0.0016198704103671,0.9463071232549816,0.1841763039338628,0.1124260355029585,0.9983801295896328,0.0536928767450184,8381,35188,0.8236855036855036,0.1923615414629668,7931,57,35131,450,507,43062,43569,51955,0.0116367141775115,10175.0,41780.0,0.1853718572349528,0.8146281427650472,0.8955613577023499,0.1044386422976501,0.8158213838899048,0.06742014742014742,0.9980852082336046,0.12539987204094688,0.9350967925295225,0.9740748169692107,0.960719397991337,Drop
47,3,Real Test,Old,1,0,binary 0/1,10175,client_age_binarized,1,0.9111969111969112,0.8082933431770641,0.0034890776699029,0.8684503901895206,0.1917066568229359,0.0888030888030888,0.9965109223300972,0.1315496098104793,1794,6592,0.1763144963144963,0.2139279751967565,1558,23,6569,236,259,8127,8386,51955,0.0308848080133555,10175.0,41780.0,0.1853718572349528,0.8146281427650472,0.8955613577023499,0.1044386422976501,0.8158213838899048,0.06742014742014742,0.9980852082336046,0.12539987204094688,0.9350967925295225,0.9740748169692107,0.960719397991337,Drop
